fund_name,general_partner,vintage_year,asset_class,sub_strategy,pension_fund_count,pension_funds,total_commitment_mm,avg_net_irr,avg_net_multiple
NEA 18 Venture Growth Equity,NEA,2022,Private Equity,Venture Capital,1,CalSTRS,60.00,0.0180,1.0308
NM Pacific,NM Pacific,2021,Private Equity,,1,CalPERS,320.00,0.0821,1.2090
NOAL,NOAL,2017,Private Equity,,1,Oregon,232.90,-0.1230,0.6200
NY Credit Co-Investment Fund II,NY Credit Co-Investment,2016,Private Equity,Co-Investment,1,NY Common,400.00,,1.1799
NY Credit Co-Investment Fund III,NY Credit Co-Investment,2020,Private Equity,Co-Investment,1,NY Common,200.00,,1.0670
NYSCRF NB Co-Investment Fund,NYSCRF NB Co-Investment,2015,Private Equity,Co-Investment,1,NY Common,1600.00,,2.0458
NYSCRF NB Co-Investment Fund II,NYSCRF NB Co-Investment,2020,Private Equity,Co-Investment,1,NY Common,4000.00,,1.2351
NYSCRF NB Co-Investment Fund III,NYSCRF NB Co-Investment,2024,Private Equity,Co-Investment,1,NY Common,500.00,,1.0000
NYSCRF Pioneer Co-Investment Fund,NYSCRF Pioneer Co-Investment,2012,Private Equity,Co-Investment,1,NY Common,500.00,,1.9198
NYSCRF Pioneer Co-Investment Fund II,NYSCRF Pioneer Co-Investment,2020,Private Equity,Co-Investment,1,NY Common,375.00,,1.1269
NYSCRF Pioneer Partnership Fund A,NYSCRF Pioneer Partnership,2009,Private Equity,,1,NY Common,200.00,,1.1601
NYSCRF Pioneer Partnership Fund A-II,NYSCRF Pioneer Partnership Fund A,2014,Private Equity,,1,NY Common,600.00,,1.6145
NYSCRF Pioneer Partnership Fund III,NYSCRF Pioneer Partnership,2019,Private Equity,,1,NY Common,300.00,,1.1574
NYSCRF Transition Annex Fund,NYSCRF Transition Annex,2019,Private Equity,,1,NY Common,600.00,,1.2953
Nautic Partners V,Nautic,2000,Private Equity,,1,CalSTRS,200.00,0.1676,2.0933
Navis Asia Fund V,Navis Asia,2007,Private Equity,,1,CalSTRS,100.00,0.0653,1.5565
New Century Holdings XI,New Century Holdings,2006,Private Equity,,1,NY Common,160.00,,0.7355
New Enterprise Associates 10,New Enterprise Associates,2000,Private Equity,,2,"CalSTRS,WSIB",310.00,0.0228,1.1837
New Enterprise Associates 12,New Enterprise Associates,2006,Private Equity,,2,"CalSTRS,WSIB",210.00,0.0631,1.4029
New Enterprise Associates 14,New Enterprise Associates,2012,Private Equity,,1,CalSTRS,160.00,0.1490,2.9369
New Enterprise Associates 15,New Enterprise Associates,2015,Private Equity,,1,CalSTRS,195.00,0.1000,1.7486
New Enterprise Associates 16,New Enterprise Associates,2017,Private Equity,,1,CalSTRS,300.00,0.0815,1.5203
New Enterprise Associates 17,New Enterprise Associates,2019,Private Equity,,1,CalSTRS,225.00,0.0454,1.1744
New Enterprise Associates 18,New Enterprise Associates,2022,Private Equity,,1,CalSTRS,40.00,0.4052,1.8635
New Enterprise Associates IX,New Enterprise Associates,1999,Private Equity,,1,CalSTRS,60.00,-0.0608,0.4638
New Enterprise Associates XI,New Enterprise Associates,2004,Private Equity,,1,CalSTRS,75.00,0.1534,2.6478
New Enterprise Associates XIII,New Enterprise Associates,2009,Private Equity,,1,CalSTRS,65.00,0.1675,2.7128
New Enterprises Associates VIII,New Enterprises Associates,1998,Private Equity,,1,CalSTRS,50.00,0.3060,1.6592
New Enterprises Associates VIII A,New Enterprises Associates,2001,Private Equity,,1,CalSTRS,25.00,-0.0237,0.7902
New Mountain CAS Continuation Fund,New Mountain,2021,Private Equity,Buyout,1,CalPERS,90.72,-0.0081,0.9818
New Mountain Partners III,New Mountain,2007,Private Equity,Buyout,3,"CalPERS,Oregon,NY Common",700.00,0.1345,2.2201
New Mountain Partners V,New Mountain,2017,Private Equity,Buyout,1,WSIB,200.00,0.2542,2.3000
New Mountain Partners VI,New Mountain,2021,Private Equity,Buyout,2,"CalPERS,WSIB",589.70,0.1474,1.4100
New Mountain Partners VII,New Mountain,2024,Private Equity,Buyout,2,"CalPERS,WSIB",650.00,0.3587,1.0974
New York Balanced Pool Asia III,New York Balanced Pool Asia,2018,Private Equity,,1,NY Common,400.00,,1.2746
New York Balanced Pool Asia Investors,New York Balanced Pool Asia,2011,Private Equity,,1,NY Common,150.00,,1.8014
New York Balanced Pool Asia Investors II,New York Balanced Pool Asia,2015,Private Equity,,1,NY Common,388.13,,1.5231
New York Balanced Pool Asia Investors IV,New York Balanced Pool Asia,2021,Private Equity,,1,NY Common,420.00,,1.0045
New York Co-Investment Pool Asia III,New York Co-Investment Pool Asia,2018,Private Equity,Co-Investment,1,NY Common,600.00,,1.1765
New York Co-Investment Pool Asia Investors,New York Co-Investment Pool Asia,2011,Private Equity,Co-Investment,1,NY Common,250.00,,1.4370
New York Co-Investment Pool Asia Investors II,New York Co-Investment Pool Asia,2015,Private Equity,Co-Investment,1,NY Common,500.00,,1.4925
New York Co-Investment Pool Asia Investors IV,New York Co-Investment Pool Asia,2021,Private Equity,Co-Investment,1,NY Common,380.00,,1.3603
New York Credit Co-Investment Fund,New York Credit Co-Investment,2014,Private Equity,Co-Investment,1,NY Common,100.00,,1.5998
New York Credit SBIC Fund,New York Credit SBIC,2014,Private Credit,Credit,1,NY Common,100.00,,3.0682
New York Credit SBIC Fund II,New York Credit SBIC,2022,Private Credit,Credit,1,NY Common,100.00,,0.9331
New York Legacy Emerging Fund,New York Legacy Emerging,2004,Private Equity,,1,NY Common,925.84,,1.3388
New York Legacy Venture Capital Fund,New York Legacy Venture,2004,Private Equity,Venture Capital,1,NY Common,1005.00,,1.7795
Nordic Bear SCSp,Nordic Bear,2021,Private Equity,,1,CalPERS,1800.00,0.1151,1.2377
Nordic Capital CV1 Beta,Nordic Capital,2018,Private Equity,Buyout,1,WSIB,200.75,0.1263,1.5000
Nordic Capital Fund III,Nordic Capital,1998,Private Equity,Buyout,1,WSIB,47.00,0.3131,3.6000
Nordic Capital Fund IV,Nordic Capital,2000,Private Equity,Buyout,1,WSIB,74.82,0.3317,2.8000
Nordic Capital Fund IX,Nordic Capital,2019,Private Equity,Buyout,1,WSIB,351.32,0.1629,1.8000
Nordic Capital Fund VI,Nordic Capital,2006,Private Equity,Buyout,1,WSIB,179.16,0.0686,1.5000
Nordic Capital Fund VII,Nordic Capital,2008,Private Equity,Buyout,1,WSIB,439.63,0.0518,1.3000
Nordic Capital Fund VIII,Nordic Capital,2013,Private Equity,Buyout,3,"WSIB,Oregon,NY Common",689.72,0.1381,1.5881
Nordic Capital Fund X,Nordic Capital,2021,Private Equity,Buyout,1,WSIB,418.54,0.1702,1.5000
Nordic Capital Fund XI,Nordic Capital,2023,Private Equity,Buyout,1,WSIB,299.89,0.2957,1.2000
Nordic Capital V,Nordic Capital,2003,Private Equity,Buyout,1,WSIB,102.63,0.2055,2.7000
North Haven Private Equity Asia IV,North Haven Private Equity Asia,2013,Private Equity,,1,Oregon,100.00,0.0250,1.1000
OCM Opportunities Fund,OCM,1995,Private Equity,Opportunistic,2,"WSIB,Oregon",86.60,0.1027,1.6200
OCM Opportunities Fund II,OCM,1997,Private Equity,Opportunistic,2,"WSIB,Oregon",150.00,0.0842,1.5050
OCM Opportunities Fund III,OCM,1999,Private Equity,Opportunistic,2,"WSIB,Oregon",225.00,0.1197,1.5000
OCM Opportunities Fund IV,OCM,2001,Private Equity,Opportunistic,1,WSIB,100.00,0.2802,1.6000
OCM Opportunities Fund IVb,OCM Opportunities Fund IVb,2002,Private Equity,Opportunistic,1,Oregon,75.00,0.4650,1.6300
OCM Opportunities Fund V,OCM,2004,Private Equity,Opportunistic,2,"WSIB,Oregon",80.00,0.1411,1.6750
OCM Opportunities Fund VI,OCM,2005,Private Equity,Opportunistic,2,"WSIB,Oregon",80.00,0.0872,1.5900
OCM Opportunities Fund VII,OCM,2007,Private Equity,Opportunistic,3,"CalSTRS,WSIB,Oregon",250.64,0.0731,1.3879
OCM Opportunities Fund VIIb,OCM Opportunities Fund VIIb,2008,Private Equity,Opportunistic,4,"CalSTRS,WSIB,Oregon,NY Common",815.00,0.1647,1.7545
OCM Principal Opportunities Fund,OCM Principal,1996,Private Equity,Opportunistic,1,Oregon,50.00,0.0540,1.4500
OCM Principal Opportunities Fund II,OCM Principal,2001,Private Equity,Opportunistic,1,Oregon,50.00,0.1830,1.6100
OCM Principal Opportunities Fund III,OCM Principal,2003,Private Equity,Opportunistic,1,Oregon,75.00,0.0950,1.4900
OCM Principal Opportunities Fund IV,OCM Principal,2006,Private Equity,Opportunistic,2,"WSIB,Oregon",250.00,0.0881,1.6900
OHA Black Bear Fund,OHA Black Bear,2020,Private Equity,,1,CalPERS,1000.00,0.1150,1.5011
OHA European Strategic Credit Fund,OHA European Strategic,2011,Private Credit,Credit,1,Oregon,50.00,0.0720,1.3900
ONCAP III,ONCAP,2011,Private Equity,,1,CalSTRS,21.99,0.1503,2.3162
ORCP IV Delaware Co-Investor 2,ORCP Delaware Co-Investor,2024,Private Equity,Co-Investment,1,NY Common,75.00,,1.2112
OVP Venture Partners VI,OVP Venture Partners,2001,Private Equity,Venture Capital,2,"WSIB,Oregon",80.00,-0.4275,0.2900
OVP Venture Partners VII,OVP Venture Partners,2006,Private Equity,Venture Capital,1,WSIB,40.00,0.0854,3.2000
Oak HC FT Partners IV,Oak HC FT,2021,Private Equity,,1,CalSTRS,100.00,0.0929,1.3349
Oak HC FT Partners V,Oak HC FT,2022,Private Equity,,1,CalSTRS,100.00,0.1646,1.1615
Oak HC/FT Partners V,Oak HC/FT,2022,Private Equity,,1,CalPERS,200.00,0.1091,1.0968
Oak Hill Capital Partners III,Oak Hill,2007,Private Equity,Buyout,1,Oregon,300.00,0.0890,1.4000
Oak Investment Partners IX,Oak Investment,1999,Private Equity,,1,WSIB,60.00,-0.0631,0.7000
Oak Investment Partners VIII,Oak Investment,1998,Private Equity,,1,WSIB,20.00,0.5533,1.8000
Oak Investment Partners X,Oak Investment,2001,Private Equity,,1,WSIB,100.00,0.0350,1.3000
Oak Investment Partners XI,Oak Investment,2004,Private Equity,,2,"CalSTRS,WSIB",175.00,-0.0245,0.8118
Oak Investment Partners XII,Oak Investment,2006,Private Equity,,1,Oregon,75.00,-0.0070,0.9600
Oak Investment Partners XIII,Oak Investment,2010,Private Equity,,1,Oregon,75.00,0.1010,2.5900
Oaktree European Principal Fund III U.S.,Oaktree,2011,Private Equity,Distressed/Special Situations,2,"CalSTRS,Oregon",125.00,0.0462,1.3340
Oaktree Latigo Investment Fund,Oaktree,2020,Private Equity,Distressed/Special Situations,1,CalPERS,1000.00,0.0990,1.3552
Oaktree Opportunities Fund IX,Oaktree,2013,Private Equity,Opportunistic,2,"WSIB,Oregon",475.00,0.0801,1.8300
Oaktree Opportunities Fund VIII,Oaktree,2009,Private Equity,Opportunistic,3,"WSIB,Oregon,NY Common",375.00,0.0907,1.4629
Oaktree Opportunities Fund VIIIb,Oaktree,2011,Private Equity,Opportunistic,4,"CalPERS,WSIB,Oregon,NY Common",575.00,0.0815,1.6828
Oaktree Opportunities Fund X,Oaktree,2015,Private Equity,Opportunistic,2,"WSIB,Oregon",250.00,0.0861,1.5050
Oaktree Opportunities Fund XI,Oaktree,2020,Private Equity,Opportunistic,2,"WSIB,Oregon",750.00,0.0957,1.3100
Oaktree Opportunities Fund Xb,Oaktree,2018,Private Equity,Opportunistic,2,"WSIB,Oregon",500.00,0.1162,1.7050
"Oaktree Opportunities Fund, Xb",Oaktree,2017,Private Equity,Opportunistic,1,NY Common,1000.00,,1.6268
Oaktree Principal Fund V,Oaktree,2010,Private Equity,Distressed/Special Situations,2,"WSIB,Oregon",250.00,0.0235,1.1350
Odyssey Investment Partners Fund VI,Odyssey Investment Partners,2020,Private Equity,,1,Oregon,150.00,0.1790,1.7600
Olympic Venture Partners III,Olympic,1994,Private Equity,Venture Capital,1,Oregon,10.00,0.2710,2.2200
Olympic Venture Partners IV,Olympic,1997,Private Equity,Venture Capital,1,Oregon,14.00,0.6390,2.6200
Olympic Venture Partners V,Olympic,2000,Private Equity,Venture Capital,1,Oregon,25.00,-0.1670,0.2700
Olympus Growth Fund III,Olympus,1998,Private Equity,Growth Equity,1,WSIB,20.00,0.1504,1.9000
Olympus Growth Fund V,Olympus,2008,Private Equity,Growth Equity,1,CalSTRS,75.00,0.1573,2.2075
Olympus Growth Fund VI,Olympus,2014,Private Equity,Growth Equity,1,CalSTRS,250.00,0.1609,2.0740
Olympus Growth Fund VII,Olympus,2019,Private Equity,Growth Equity,1,CalSTRS,350.00,0.2640,2.0422
Olympus Growth Fund VIII,Olympus,2025,Private Equity,Growth Equity,1,CalSTRS,250.00,0.0000,
One Rock Capital Partners IV,One Rock,2024,Private Equity,,1,NY Common,125.00,,
One Rock Emerald Fund,One Rock Emerald,2024,Private Equity,,1,NY Common,50.00,,
Onex Partners I,Onex,2004,Private Equity,,1,CalSTRS,100.00,0.3799,3.0690
Onex Partners II,Onex,2006,Private Equity,,1,CalSTRS,150.00,0.1266,1.8151
Onex Partners III,Onex,2008,Private Equity,,1,CalSTRS,175.00,0.1123,1.8240
Onex Partners IV,Onex,2014,Private Equity,,2,"CalPERS,CalSTRS",460.62,0.0691,1.3919
Onex Partners V,Onex,2019,Private Equity,,1,CalSTRS,250.00,0.1200,1.5040
Onex Partners V-B,Onex,2018,Private Equity,,1,CalPERS,455.59,0.1000,1.4351
Opus Capital Venture Partners V,Opus,2006,Private Equity,Venture Capital,1,Oregon,50.00,-0.0150,0.8900
Opus Capital Venture Partners VI,Opus,2011,Private Equity,Venture Capital,1,Oregon,33.50,-0.1010,0.6400
OrbiMed Private Investments IV,OrbiMed Private Investments,2010,Private Equity,,2,"CalSTRS,Oregon",80.00,0.3177,2.9257
OrbiMed Private Investments IX,OrbiMed Private Investments,2022,Private Equity,,1,CalSTRS,75.00,0.2408,1.2588
OrbiMed Private Investments V,OrbiMed Private Investments,2013,Private Equity,,2,"CalSTRS,Oregon",80.00,0.3818,2.3975
OrbiMed Private Investments VI,OrbiMed Private Investments,2015,Private Equity,,1,Oregon,60.00,0.1300,1.6400
OrbiMed Private Investments VIII,OrbiMed Private Investments,2020,Private Equity,,1,CalSTRS,50.00,0.0688,1.1946
OrbiMed Royalty & Credit Opportunities III,OrbiMed Royalty &,2019,Private Credit,Credit,1,CalSTRS,50.00,0.1506,1.2010
OrbiMed Royalty Credit Opps IV,OrbiMed Royalty Credit Opps,2022,Private Credit,Credit,1,CalSTRS,75.00,0.1322,1.1094
OrbiMed Royalty Credit Opps V,OrbiMed Royalty Credit Opps,2025,Private Credit,Credit,1,CalSTRS,75.00,0.0000,
Orchard Park,Orchard Park,2023,Private Equity,,1,CalPERS,535.35,,1.2449
Orchid Asia VI,Orchid Asia,2014,Private Equity,,1,Oregon,75.00,0.0080,1.0400
Orchid Asia VII,Orchid Asia,2017,Private Equity,,1,Oregon,135.00,-0.0160,0.9300
Oregon Investment Fund (Series 1),Oregon,2004,Private Equity,,1,Oregon,100.00,-0.0210,0.8700
Oregon Investment Fund (Series 1-A),Oregon,2007,Private Equity,,1,Oregon,50.00,0.1530,2.0700
Otro Capital Fund I-A,Otro,2025,Private Equity,,1,CalPERS,50.00,,1.0409
PAG Asia I,PAG Asia,2012,Private Equity,,2,"CalPERS,CalSTRS",225.00,0.1696,1.9110
PAG Asia II,PAG Asia,2016,Private Equity,,2,"CalSTRS,WSIB",300.00,0.0950,1.6196
PAG Asia III,PAG Asia,2019,Private Equity,,3,"CalPERS,CalSTRS,WSIB",980.00,0.0805,1.2953
PAI Europe VII,PAI Europe,2019,Private Equity,,1,WSIB,167.55,0.1424,1.6000
PAI Europe VIII,PAI Europe,2023,Private Equity,,1,WSIB,199.70,0.2155,1.2000
PEG Pooled Venture Capital Institutional Investors II,PEG Pooled Venture Capital Institutional,2000,Private Equity,Venture Capital,1,NY Common,576.00,,1.4419
PEG Pooled Venture Capital Institutional Investors III,PEG Pooled Venture Capital Institutional,2006,Private Equity,Venture Capital,1,NY Common,197.60,,1.6405
PSG Encore,PSG Encore,2022,Private Equity,,1,CalPERS,100.00,0.0821,1.1174
PSG Europe II,PSG Europe,2023,Private Equity,,2,"CalPERS,WSIB",308.35,0.4444,1.2970
PSG V,PSG,2021,Private Equity,,2,"CalPERS,WSIB",300.00,0.1094,1.2042
PSG VI,PSG,2025,Private Equity,,1,WSIB,200.00,-0.2948,0.7000
PVP Fund I-A,PVP,2015,Private Equity,,1,NY Common,60.00,,4.7891
PVP Fund II-A,PVP,2018,Private Equity,,1,NY Common,60.00,,3.2513
PVP Fund III-A,PVP,2020,Private Equity,,1,NY Common,60.00,,1.3687
PVP Fund IV,PVP,2023,Private Equity,,1,NY Common,60.00,,1.5531
Paladin (NY),Paladin,2004,Private Equity,,1,NY Common,45.00,,1.6189
"Paladin (NY), LP*","Paladin , LP*",2004,Private Equity,,1,NY Common,45.00,,1.6179
Palamon European Equity,Palamon European Equity,1999,Private Equity,,1,WSIB,50.73,0.1075,1.7000
Palamon European Equity II,Palamon European Equity,2005,Private Equity,,1,WSIB,132.01,0.0782,1.5000
Palladium Equity Partners III,Palladium,2008,Private Equity,,1,NY Common,70.00,,1.7608
Palladium Equity Partners IV,Palladium,2012,Private Equity,,3,"CalSTRS,Oregon,NY Common",390.00,0.0992,1.6699
Palladium Equity Partners V,Palladium,2018,Private Equity,,4,"CalPERS,CalSTRS,Oregon,NY Common",725.00,0.1325,1.5740
Pantheon Global Secondary Fund VII Feeder (US),Pantheon,2023,Private Equity,Secondaries,1,CalPERS,200.00,,1.3124
Paragon Partners,Paragon,1984,Private Equity,,1,WSIB,4.00,0.1382,2.1000
Paragon Venture Partners II,Paragon,1989,Private Equity,Venture Capital,1,WSIB,5.00,0.1155,2.3000
Parthenon Investors,Parthenon,1999,Private Equity,,1,Oregon,50.00,0.0650,1.3800
Parthenon Investors II,Parthenon,2001,Private Equity,,1,Oregon,75.00,0.1230,1.6400
Parthenon Investors III,Parthenon,2005,Private Equity,,1,Oregon,100.00,0.1190,2.4600
Parthenon Investors IV,Parthenon,2012,Private Equity,,1,Oregon,75.00,0.3620,4.9100
Parthenon Investors VII,Parthenon,2023,Private Equity,,1,Oregon,150.00,,0.8400
Pathway Portfolio,Pathway Portfolio,1997,Private Equity,Fund of Funds,1,WSIB,1013.28,0.1155,1.8000
Pathway Private Equity Fund III,Pathway Private Equity,2001,Private Equity,Fund of Funds,1,Oregon,250.00,0.0790,1.5400
Pathway Private Equity Fund III-B,Pathway Private Equity,2008,Private Equity,Fund of Funds,1,Oregon,400.00,0.1530,2.1300
Pathway Private Equity Fund III-Co Series A,Pathway Private Equity Fund -Co Series,2019,Private Equity,Fund of Funds,1,Oregon,250.00,0.0630,1.3100
Pathway Private Equity Fund III-Co Series C,Pathway Private Equity Fund -Co Series,2020,Private Equity,Fund of Funds,1,Oregon,600.00,0.1390,1.6800
Pathway Private Equity Fund III-Co Series D,Pathway Private Equity Fund -Co Series,2021,Private Equity,Fund of Funds,1,Oregon,600.00,0.0820,1.2700
Pathway Private Equity Fund III-Co Series E,Pathway Private Equity Fund -Co Series,2022,Private Equity,Fund of Funds,1,Oregon,500.00,,1.2400
Pathway Private Equity Fund III-Co Series F,Pathway Private Equity Fund -Co Series F,2024,Private Equity,Fund of Funds,1,Oregon,500.00,,1.2600
Patient Square Equity Partners,Patient Square,2023,Private Equity,,1,CalPERS,300.00,,1.1754
Patria Brazilian Private Equity Fund V,Patria Brazilian Private Equity,2015,Private Equity,,1,CalPERS,150.00,0.0800,1.4772
Patria-Brazilian Private Equity Fund IV,Patria-Brazilian Private Equity,2011,Private Equity,,1,NY Common,150.00,,0.8829
Paul Capital VIII-B,Paul,2004,Private Equity,,1,CalSTRS,50.00,0.0761,1.3433
Peak Rock Capital Credit Fund II,Peak Rock,2017,Private Credit,Credit,1,CalSTRS,20.00,0.1402,1.1169
Peak Rock Capital Fund,Peak Rock,2013,Private Equity,Buyout,1,CalSTRS,50.00,0.1597,1.5609
Peak Rock Capital Fund II,Peak Rock,2017,Private Equity,Buyout,1,CalSTRS,80.00,0.3456,2.0846
Peak Rock Capital Fund III,Peak Rock,2021,Private Equity,Buyout,1,CalSTRS,200.00,0.2823,1.6480
Peak Rock Capital Fund IV,Peak Rock,2025,Private Equity,Buyout,1,CalSTRS,200.00,0.0000,
Peak Rock Real Estate Fund I,Peak Rock,2021,Real Assets,Real Estate,1,CalSTRS,14.99,0.0786,1.1280
Penman Private Equity and Mezzanine Fund,Penman Private Equity and Mezzanine,1994,Private Credit,Credit,1,Oregon,20.20,-0.0250,0.8900
Performance Venture Capital,Performance Venture,2006,Private Equity,Venture Capital,1,NY Common,80.00,,1.7680
Performance Venture Capital II,Performance Venture,2008,Private Equity,Venture Capital,1,NY Common,150.00,,2.3664
Permira Europe II,Permira,2000,Private Equity,Buyout,1,CalSTRS,352.15,0.2351,1.9881
Permira Europe III,Permira,2004,Private Equity,Buyout,2,"CalPERS,CalSTRS",479.14,0.2538,1.6924
Permira Growth Opportunities I L.P. 1,Permira,2019,Private Equity,Growth Equity,1,CalPERS,200.00,0.0800,1.2912
Permira Growth Opportunities I L.P.1,Permira,2019,Private Equity,Growth Equity,1,CalSTRS,100.00,0.0800,1.3091
Permira Growth Opportunities II SCSP,Permira,2022,Private Equity,Growth Equity,3,"CalPERS,CalSTRS,WSIB",505.00,0.0052,0.9966
Permira IV,Permira,2006,Private Equity,Buyout,2,"CalSTRS,WSIB",946.90,0.0880,1.6869
Permira IV L.P.2,Permira,2006,Private Equity,Buyout,1,CalPERS,287.13,0.0820,1.5799
Permira V,Permira,2014,Private Equity,Buyout,3,"CalPERS,CalSTRS,WSIB",911.58,0.2065,2.7613
Permira VI,Permira,2017,Private Equity,Buyout,2,"WSIB,Oregon",617.40,0.1493,2.0700
Permira VI L.P. 1,Permira,2017,Private Equity,Buyout,1,CalPERS,497.81,0.1510,1.9655
"Permira VI, L.P.1",Permira,2016,Private Equity,Buyout,1,CalSTRS,352.15,0.1487,2.0004
Permira VII,Permira,2020,Private Equity,Buyout,2,"WSIB,Oregon",652.39,0.0874,1.4050
Permira VII L.P.1,Permira,2020,Private Equity,Buyout,2,"CalPERS,CalSTRS",1082.21,0.0750,1.3029
Permira VIII,Permira,2023,Private Equity,Buyout,2,"WSIB,Oregon",645.96,0.1555,1.2700
Permira VIII-2 SCSp,Permira,2023,Private Equity,Buyout,2,"CalPERS,CalSTRS",1064.28,0.1737,1.1902
Perseus-Soros BioPharmaceutical Fund,Perseus-Soros BioPharmaceutical,2001,Private Equity,,1,NY Common,35.00,,1.4219
Phoenix Bear Partners,Phoenix Bear,2023,Private Equity,,1,CalPERS,1975.00,,1.2479
Phoenix Partners,Phoenix,1982,Private Equity,,1,WSIB,5.00,-0.0164,0.9000
Phoenix Partners II,Phoenix,1985,Private Equity,,1,WSIB,15.00,0.1297,1.9000
Phoenix Partners III,Phoenix,1986,Private Equity,,1,WSIB,25.00,0.0531,1.4000
"Phoenix Partners, L.P. - WSIB Secondary","Phoenix Partners, L.P. - WSIB Secondary",1990,Private Equity,Secondaries,1,WSIB,0.92,-0.0944,0.7000
Pine Brook Capital Partners II,Pine Brook,2014,Private Equity,,1,NY Common,300.00,,1.4552
Pioneer Pier Investments,Pioneer Pier Investments,2024,Private Equity,,1,CalPERS,300.00,,1.0737
Platinum Equity Capital Partners III,Platinum Equity,2013,Private Equity,Buyout,1,NY Common,400.00,,2.1255
Pond Ventures III,Pond,2006,Private Equity,Venture Capital,1,CalSTRS,10.00,0.1236,1.8839
Pophouse Fund (No. 1) SCS,Pophouse Fund SCS,2024,Private Equity,,1,CalPERS,106.60,,0.9408
Pophouse Investment Platform SCA SICAV-RAIF ? Pophouse Co-Investment Fund II,Pophouse Investment Platform SCA SICAV-RAIF ? Pophouse Co-Investment,2025,Private Equity,Co-Investment,1,CalPERS,37.02,,1.0225
Primary Select Fund I,Primary Select,2019,Private Equity,,1,NY Common,30.00,,1.6282
Primary Select Fund II,Primary Select,2021,Private Equity,,1,NY Common,30.00,,1.1014
Primary Select Fund III,Primary Select,2023,Private Equity,,1,NY Common,60.00,,1.0548
Project Quail Opportunities,Project Quail,2022,Private Equity,Opportunistic,1,CalPERS,1000.00,0.2101,1.4182
Providence Equity Partners,Providence Equity,1996,Private Equity,Buyout,1,Oregon,75.00,0.7850,2.7800
Providence Equity Partners III,Providence Equity,1999,Private Equity,Buyout,1,Oregon,100.00,0.1580,1.5500
Providence Equity Partners IV,Providence Equity,2000,Private Equity,Buyout,2,"Oregon,NY Common",459.83,0.2390,1.8995
Providence Equity Partners IX,Providence Equity,2023,Private Equity,Buyout,1,WSIB,200.00,0.1436,1.1000
Providence Equity Partners V,Providence Equity,2005,Private Equity,Buyout,3,"CalSTRS,Oregon,NY Common",650.00,0.0302,1.1931
"Providence Equity Partners V, LP*",Providence Equity,2004,Private Equity,Buyout,1,NY Common,150.00,,1.1712
Providence Equity Partners VI,Providence Equity,2007,Private Equity,Buyout,3,"CalSTRS,WSIB,NY Common",1650.00,0.0592,1.3951
Providence Equity Partners VII,Providence Equity,2012,Private Equity,Buyout,2,"WSIB,NY Common",500.00,0.2080,2.0618
Providence Equity Partners VIII,Providence Equity,2019,Private Equity,Buyout,2,"WSIB,NY Common",900.00,0.1361,1.4386
Providence Media Partners,Providence Media,1991,Private Equity,,1,Oregon,50.00,0.3520,3.4100
Providence Strategic Growth Europe,Providence Strategic Growth Europe,2021,Private Equity,Growth Equity,1,WSIB,191.16,0.1810,1.5000
Providence Strategic Growth Fund III,Providence Strategic,2018,Private Equity,Growth Equity,1,NY Common,100.00,,1.6216
Providence Strategic Growth Fund IV,Providence Strategic,2019,Private Equity,Growth Equity,1,NY Common,200.00,,1.7667
Providence Strategic Growth V,Providence Strategic Growth,2021,Private Equity,Growth Equity,1,NY Common,200.00,,1.1639
Providence Strategic Growth VI,Providence Strategic Growth,2023,Private Equity,Growth Equity,1,NY Common,500.00,,
Providence Strategic Partners Europe II,Providence Strategic Partners Europe,2023,Private Equity,,1,NY Common,216.13,,1.2837
Prysm Capital Fund I,Prysm,2023,Private Equity,,1,CalPERS,100.00,,1.0307
Prysm Capital Fund II-C,Prysm,2024,Private Equity,,1,CalPERS,200.00,,1.5047
Public Pension Capital,Public Pension,2014,Private Equity,,1,Oregon,100.00,0.2320,2.5600
Pursuit (formerly known as New York Business Development Corporation)**,Pursuit,1987,Private Equity,,1,NY Common,200.00,,1.1157
Q-Street Capital,Q-Street,2021,Private Equity,,1,CalPERS,400.00,0.0951,1.2366
Quadrangle Capital Partners II,Quadrangle,2005,Private Equity,,2,"CalSTRS,NY Common",400.00,0.0685,1.4148
RC CC Fund,RC CC,2024,Private Equity,,1,CalPERS,750.00,,1.2745
RRJ Capital Master Fund II,RRJ Capital Master,2013,Private Equity,,2,"Oregon,NY Common",675.00,0.0860,1.3663
RRJ Capital Master Fund III,RRJ Capital Master,2015,Private Equity,,3,"CalSTRS,Oregon,NY Common",1150.00,0.0752,1.1859
RRJ Capital Master Fund IV,RRJ Capital Master,2021,Private Equity,,1,CalSTRS,150.00,0.1607,1.1896
RSTW Partners III,RSTW,1997,Private Equity,,1,WSIB,50.00,-0.0117,0.9000
Red Admiral Fund,Red Admiral,2023,Private Equity,,1,CalPERS,1200.00,,1.6668
Redwood Lane Capital,Redwood Lane,2022,Private Equity,,1,CalPERS,700.00,0.2561,1.4071
Redwood Opportunities SCSp,Redwood,2020,Private Equity,Opportunistic,1,CalPERS,950.00,0.1480,1.3798
Reverence Capital PTR Op Fund V (PE Fund III),Reverence Capital PTR Op,2023,Private Equity,,1,CalSTRS,50.00,0.2918,1.3727
Rhone Partners V,Rhone,2015,Private Equity,Buyout,1,WSIB,171.17,0.1671,2.0000
